item, last name,first name,movie,year,nationality,latitude,longitude
Nadine  Labaki,Labaki,Nadine ,Capernaum,2018,lebanon,33.8735578  ,35.863749
Kasi  Lemmons,Lemmons,Kasi ,Eve’s Bayou,1977,united states,37.0902405  ,-95.7128906
Tia Lessin,Lessin,Tia,Trouble the Water,2008,united states,37.0902405   ,-95.7128906
Rene  Liu Ruo,Liu Ruo,Rene ,Us and Them ,2018,taiwan,23.553118    ,121.0211024
Jennie  Livingston,Livingston,Jennie ,Paris is Burning,1990,united states,37.0902405,-95.7128906
Caudia  Llosa,Llosa,Caudia ,The Milk Of Sorrow,2009,peru,-9.1951786   ,-74.9904165
Havana Marking,Marking,Havana,Afghan Star,2009,united kingdom,51.509865  ,-0.118092
Penny Marshall,Marshall,Penny,Big,1988,united states,37.0902405  ,-95.7128906
Lucrecia Martel,Martel,Lucrecia,The Headless Woman,2008,argentina,-38.4192641   ,-63.5989206
Márta  Mészáros,Mészáros,Márta ,Adoption,1975,hungary,47.1611615 ,19.5057541
Barbara Miller ,Miller ,Barbara,Female Pleasure,2018,german  ,511.642.292,10.4541194
Carol Morley ,Morley ,Carol,Dreams Of A Life,2011,united kingdom,51.509865  ,-0.118092
Anna Muylaert,Muylaert,Anna,The Second Mother,2015,brazil,-14.2400732   ,-53.1805017
Megan Mylan,Mylan,Megan,Lost boys of Sudan,2004,united states,37.0902405 ,-95.7128906
Mira Nair,Nair,Mira,Monsoon Wedding,2002,india,21.1289956  ,82.7792201
Miwa Nishikawa,Nishikawa,Miwa,Wild Berrries,2002,Japan,124.15717 ,145.575
Jehane Noujaim,Noujaim,Jehane,The Square,2013,egypt,26.8357675   ,30.7956597
Naoko  Ogigami,Ogigami,Naoko ,Close-Knit ,2017,Japan,124.15717,145.575
Kimberly  Peirce,Peirce,Kimberly ,Boys Don’t Cry,1999,united states,37.0902405   ,-95.7128906
Sarah Polley,Polley,Sarah,Stories we Tell,2012,canada,56.0  ,-96.0
Lynne  Ramsay,Ramsay,Lynne ,We Need to Talk About Kevin,2011,scottland,55953251 ,-3.188267
Dee Rees,Rees,Dee,Mudbound,2017,united states,37.0902405  ,-95.7128906
Kelly  Reichardt,Reichardt,Kelly ,Meek’s Cutoff,2010,united states,37.0902405  ,-95.7128906
Alice  Rohrwacher,Rohrwacher,Alice ,Happy as Lazzaro,2018,italy,41.29246  ,12.5736108
Marjane Satrapi,Satrapi,Marjane,Persepolis,2007,iran,32.4207423   ,53.6830157
Angela Schanelec,Schanelec,Angela,Marseille,2004,,511.642.292,10.4541194
Céline  Sciamma,Sciamma,Céline ,Tomboy,2011,france,46.71109                    ,1.7191036
Ricki Stern,Stern,Ricki,The Devil Came on Horseback,2007,united states,37.0902405  ,-95.7128906
Hito Steyerl,Steyerl,Hito,Die leere Mitte,1998,german  ,511.642.292,10.4541194
Yuki  Tanada,Tanada,Yuki ,One Million Yen Girl,2008,Japan,124.15717,145.575
Agnès  Varda,Varda,Agnès ,The Beaches of Agnes,2008,france,46.71109                  ,1.7191036
Lucy Walker,Walker,Lucy,Waste Land,2010,united kingdom,51.509865 ,-0.118092
Lois  Weber,Weber,Lois ,Shoes,1916,united states,37.0902405 ,-95.7128906
Yolande  Welimoum,Welimoum,Yolande ,Heritage,2017,cameroon,7.3696495   ,12.3445856
Yoko Yamanaka,Yamanaka,Yoko,21st Century Girl,2019,Japan,37.4900318  ,136.4664008
Ga-eun Yoon,Yoon,Ga-eun,the world of us,2016,korea,35.8615124 ,127.096405
Jasmila Zabnic,Zabnic,Jasmila,Grbavica,2007,Bosnia and Herzegovina,43.9165389  ,17.6721508
Elite Zexer ,Zexer ,Elite,Sand Storm,2016,israel,31.4117257  ,35.0818155
Malika Zouhali-Worrall,Zouhali-Worrall,Malika,Call Me Kuchu,2013,morocco,31.794525   ,-7.0849336
Chloe Zhao,Zhao,Chloe,The Rider,2017,china,39.916668 ,116.383331
