Item,Last name,First name,Movie,Year,Nationality
Marjane Satrapi,Satrapi,Marjane,Persepolis,2007,Iran
Angela Schanelec,Schanelec,Angela,Marseille,2004,German  
Céline  Sciamma,Sciamma,Céline ,Tomboy,2011,France
Ricki Stern,Stern,Ricki,The Devil Came on Horseback,2007,United states
Hito Steyerl,Steyerl,Hito,Die leere Mitte,1998,German  
Yuki  Tanada,Tanada,Yuki ,One Million Yen Girl,2008,Japan
Agnès  Varda,Varda,Agnès ,The Beaches of Agnes,2008,France
Lucy Walker,Walker,Lucy,Waste Land,2010,United kingdom
Lois  Weber,Weber,Lois ,Shoes,1916,United states
Yolande  Welimoum,Welimoum,Yolande ,Heritage,2017,Cameroon
Yoko Yamanaka,Yamanaka,Yoko,21st Century Girl,2019,Japan
Ga-eun Yoon,Yoon,Ga-eun,the world of us,2016,South Korea
Jasmila Zabnic,Zabnic,Jasmila,Grbavica,2007,Bosnia and Herzegovina
Elite Zexer ,Zexer ,Elite,Sand Storm,2016,Israel
Malika Zouhali-Worrall,Zouhali-Worrall,Malika,Call Me Kuchu,2013,Morocco
Chloe Zhao,Zhao,Chloe,The Rider,2017,China
