Item,Last name,First name,Movie,Year,Nationality,latitude,longitude,order,city_for_lat-lon
Chiemi Karasawa,Karasawa,Chiemi,Elaine Stritch: Shoot Me,2014,United States,35.22709,-80.84313,90,Charlotte
Avival Kempner,Kempner,Avival,The Life and Times of Hank Greenberg,2000,United States,40.78343,-73.96625,91,Manhattan
Jennifer Kent,Kent,Jennifer,The Babadook,2014,Australia,-26.4390917,133.281323,3,
Bora Kim,Kim,Bora,house of hummingbird,2018,South Korea,36.34913,127.38493,58,Daejeon
Alison Klayman,Klayman,Alison,Ai Weiwei: Never Sorry,2012,United States,33.76696,-118.18923,92,Long Beach
Nadine Labaki,Labaki,Nadine,Capernaum,2018,Lebanon,33.8735578  ,35.863749,43,
Kasi Lemmons,Lemmons,Kasi,Eve’s Bayou,1977,United States,29.95465,-90.07507,93,New Orleans
Tia Lessin,Lessin,Tia,Trouble the Water,2008,United States,37.80437,-122.2708,94,Oakland
Rene Liu Ruo,Liu Ruo,Rene,Us and Them ,2018,Taiwan,25.04776,121.53185,60,Taipei
Jennie Livingston,Livingston,Jennie,Paris is Burning,1990,United States,47.60621,-122.33207,95,Seattle
Caudia Llosa,Llosa,Caudia,The Milk Of Sorrow,2009,Peru,-9.1951786   ,-74.9904165,51,
Havana Marking,Marking,Havana,Afghan Star,2009,United Kingdom,55.86515,-4.25763,69,Glasgow
Penny Marshall,Marshall,Penny,Big,1988,United States,45.52345,-122.67621,96,Portland
Lucrecia Martel,Martel,Lucrecia,The Headless Woman,2008,Argentina,-32.89084,-68.82717,2,Mendoza
Márta Mészáros,Mészáros,Márta,Adoption,1975,Hungary,47.1611615 ,19.5057541,27,
Barbara Miller ,Miller ,Barbara,Female Pleasure,2018,Germany,53.55073,9.99302,23,Hamburg
Carol Morley ,Morley ,Carol,Dreams Of A Life,2011,United Kingdom,53.79648,-1.54785,70,Leeds
Anna Muylaert,Muylaert,Anna,The Second Mother,2015,Brazil,-14.2400732   ,-53.1805017,6,
Megan Mylan,Mylan,Megan,Lost boys of Sudan,2004,United States,42.33143,-83.04575,97,Detroit
Mira Nair,Nair,Mira,Monsoon Wedding,2002,India,28.65195,77.23149,29,Delhi
Miwa Nishikawa,Nishikawa,Miwa,Wild Berrries,2002,Japan,34.69374,135.50218,37,Osaka
Jehane Noujaim,Noujaim,Jehane,The Square,2013,Egypt,26.8357675   ,30.7956597,13,
Naoko Ogigami,Ogigami,Naoko,Close-Knit ,2017,Japan,35.18147,136.90641,38,Nagoya
Kimberly Peirce,Peirce,Kimberly,Boys Don’t Cry,1999,United States,39.73915,-104.9847,98,Denver
Sarah Polley,Polley,Sarah,Stories we Tell,2012,Canada,45.41117,-75.69812,9,Ottawa
Lynne Ramsay,Ramsay,Lynne,We Need to Talk About Kevin,2011,Scottland,56.01667,-4.76667,53,
Dee Rees,Rees,Dee,Mudbound,2017,United States,42.35843,-71.05977,99,Boston
Kelly Reichardt,Reichardt,Kelly,Meek’s Cutoff,2010,United States,33.74557,-117.86783,100,Santa ana
Alice Rohrwacher,Rohrwacher,Alice,Happy as Lazzaro,2018,Italy,41.29246  ,12.5736108,35,
Marjane Satrapi,Satrapi,Marjane,Persepolis,2007,Iran,36.29807,59.60567,31,Mashhad
Angela Schanelec,Schanelec,Angela,Marseille,2004,Germany,48.13743,11.57549,24,Munich
Céline Sciamma,Sciamma,Céline,Tomboy,2011,France,43.61093,3.87635,20,Montpellier
Ricki Stern,Stern,Ricki,The Devil Came on Horseback,2007,United States,47.65966,-117.42908,101,Spokane
Hito Steyerl,Steyerl,Hito,Die leere Mitte,1998,Germany,51.33962,12.37129,25,Leipzig
Yuki Tanada,Tanada,Yuki,One Million Yen Girl,2008,Japan,43.06667,141.35,39,Sapporo
Agnès Varda,Varda,Agnès,The Beaches of Agnes,2008,France,44.84044,-0.5805,21,Bordeaux
Lucy Walker,Walker,Lucy,Waste Land,2010,United Kingdom,51.48,-3.18,71,Cardiff
Lois Weber,Weber,Lois,Shoes,1916,United States,40.44062,-79.99589,102,Pittsburgh
Yolande Welimoum,Welimoum,Yolande,Heritage,2017,Cameroon,7.3696495   ,12.3445856,7,
Yoko Yamanaka,Yamanaka,Yoko,21st Century Girl,2019,Japan,37.4900318  ,136.4664008,40,
Ga-eun Yoon,Yoon,Ga-eun,the world of us,2016,South Korea,35.15472,126.91556,59,Gwangju
Jasmila Zabnic,Zabnic,Jasmila,Grbavica,2007,Bosnia and Herzegovina,43.9165389  ,17.6721508,5,
Elite Zexer ,Zexer ,Elite,Sand Storm,2016,Israel,32.08088,34.78057,34,Tel Aviv
Malika Zouhali-Worrall,Zouhali-Worrall,Malika,Call Me Kuchu,2013,Morocco,31.794525   ,-7.0849336,45,
Chloe Zhao,Zhao,Chloe,The Rider,2017,China,39.916668 ,116.383331,10,Beijing
