Item,Links,Genre
Regina Demina,,['french']['experimental']['france']['female vocalists']['dark']
Selah Sue,,['soul']['female vocalists']['jazz']['singer-songwriter']['belgian']
She Drew The Gun,,['indie']['england']['rock']['pop']['electronic']
Skye (Edwards),,
Sleater Kinney,,['riot grrrl']['indie rock']['female vocalists']['indie']['rock']
Soley,,
Ssion,,
St. Vincent,,
Sugababes,,['pop']['female vocalists']['british']['dance']['rnb']
Sylvan Esso,,['electronic']['electropop']['synthpop']['indietronica']['indie']
The Cardigans,,['pop']['rock']['female vocalists']['swedish']['alternative']
Trampauline,,['korean']['electronic']['indietronica']['frauen und technik']['indie']
Trampauline (트램폴린),,
Tropic of Cancer,,['shoegaze']['lo-fi']['drone']['new wave']['darkwave']
Vök,,
Thievery Corporation,,['chillout']['trip-hop']['downtempo']['electronic']['lounge']
LIM KIM (김예림),,
SASSY 009,,['house']['electronic']['techno']['experimental']['frauen und technik']
AnnaMelina,,['electronic']['indie']['pop']['swedish']['female vocalists']
Catnapp,,['bass']['electronic']['drum and bass']['argentina']['breaks']
Jasper Lotti,,['indie pop']['electronica']['female vocalists']
Blondie,,['new wave']['80s']['rock']['female vocalists']['pop']
Carla dal Forno,,['darkwave']['lo-fi']['experimental']['minimal wave']['ambient']
Cat Power,,['indie']['female vocalists']['singer-songwriter']['folk']['alternative']
Charlotte Gainsbourg,,['french']['female vocalists']['indie']['singer-songwriter']['pop']
Christina Aguilera,,['pop']['female vocalists']['soul']['rnb']['dance']
CHVRCHES,,['synthpop']['electronic']['electropop']['poptron']['indie']
Anita Baker,,['soul']['female vocalists']['smooth jazz']['jazz']['anita baker']
Aretha Franklin,,['soul']['jazz']['female vocalists']['blues']['rhythm and blues']
Duffy,,['soul']['female vocalists']['pop']['british']['singer-songwriter']
Iyeoka,https://iyeoka.com/,['soul']['female vocalists']['pop']['modern world soul music']['jazz']
Jorja Smith,,['rnb']['soul']['pop']['neo-soul']['uk']
Lianne LaHavas,,
Marlena Shaw,,['soul']['jazz']['female vocalists']['funk']['7soul']
Melody Gardot,,['jazz']['female vocalists']['vocal jazz']['blues']['chillout']
Rachael Yamagata,,['female vocalists']['singer-songwriter']['indie']['piano']['alternative']
Sade,,['soul']['jazz']['female vocalists']['sade']['chillout']
Sophie Milman,,['jazz']['female vocalists']['jazz vocal']['vocal jazz']['canadian']
Stacey Kent,,['jazz']['female vocalists']['vocal jazz']['smooth jazz']['jazz vocal']
Strange Fruit,,['soundtrack']['classic rock']['rock']['hard rock']['british']
Tango with Lions,,['indie']['folk']['indie folk']['indie rock']['female vocalists']
The Transatlantics,,['soul']['funk']['deep funk']['deep funk revival']
Moloko,,['trip-hop']['electronic']['female vocalists']['dance']['electronica']
Beth Hart,,['rock']['female vocalists']['singer-songwriter']['alternative']['blues']
Norah Jones,,['jazz']['female vocalists']['blues']['singer-songwriter']['pop']
070 Shake,,['rnb']['hip hop']['hip-hop']['rap']['synthpop']
A Place To Bury Strangers,,['shoegaze']['post-punk']['noise rock']['noise']['indie rock']
Abra,,['alternative rnb']['synthpop']['uk bass']['rnb']['freestyle']
ABRA,,['alternative rnb']['synthpop']['uk bass']['rnb']['freestyle']
Angel Haze,,['hip-hop']['rap']['female vocalists']['underground hip-hop']['female rapper']
Aristophanes,,
Ashley All Day,,
Awkwafina,,
Azealia Banks,,
Baby Rose,,
Bbymutha,,
Bella Thorne,,
Bergsonist,,
BIBI,,
Blu Samu,,
BOOTYCHAAAIN,,
Broder John,,
Cam and China,,
Cardi B,,
Choi Sam (최삼),,
Chynna,,
Ciara,,
Cleo Sol,,
COI LERAY,,
COUCOU CHLOE,,
Cupcakke,https://www.cupcakke.com/,
Dakillah,,
DANILEIGH,,
DeJ Loaf,,
DonMonique,,
DreamDoll,,
Dreezy,,
Fabulous Bratt,,
Gavlyn,,
HaiytiOficial,,
Honey Coacaine,,
HoodCelebrityy,,
IAMDDB,,
Internet,,
Janine,,
Jucee Froot,,
Kari Faux,,
Kate Tempest,,
KeKe,,
La Zowi,,
Lauryn Hill,,
Leikeli47,,
Lil Kim,,
